category
Единиц в одном товаре
Оптическая сила
Образец цвета
"Длина, м"
"Ширина, см"
"Вес товара, г"
ISBN
"Количество в упаковке, шт"
Год выпуска
"Длина, см"
"Ширина, м"
Российский размер
Количество страниц
"Толщина, мм"
Название цвета
"Длина, мм"
"Объем, мл"
Артикул
"Высота, см"
"Разрывная нагрузка, кг"
Размер изделия
"Длина большей стороны, см"
"Длина меньшей стороны, см"
"Высота каблука, см"
Российский размер (обуви)
"Размеры, мм"
"Вес, г"
"Ширина, мм"
"Количество в упаковке, шт."
"Высота подошвы, см"
Партномер (артикул производителя)
"Общий объем SSD, ГБ"
"Диаметр, мм"
Количество заводских упаковок
"Количество листов, шт"
Максимальная температура
"Высота голенища, см"
"Глубина, см"
"Суммарный объем всех дисков, ГБ"
"Ширина линзы, мм"
"Размер моста на переносице, мм"
"Размер крючка, N"
Индекс нагрузки
"Высота линзы, мм"
"Размер заушника, мм"
"Длина изделия, см"
"Вес одной шт., г"
"Мощность, Вт"
Размер на модели
"Общая ширина, мм"
"Диаметр, см"
"Диаметр, #PE"
Количество в упаковке
"Объем, л"
"Диаметр сверл, мм"
Количество предметов в комплекте
Партномер
"Объем главного отделения, л"
"Частота процессора, ГГц"
Расстояние между оптическими центрами
"Количество, штук"
Количество предметов
"Длина по горизонтали, см"
"Оперативная память, ГБ"
"Световой поток, Лм"
"Количество в комплекте, шт."
"Длина по вертикали, см"
"Число цветов, шт"
"Макс. нагрузка, кг"
"Длина товара в упаковке, мм"
"Высота платформы, см"
Полнота
"Температура света, К"
OEM-номер
"Длина рабочей части, мм"
"Длина стопы, см"
"Высота товара в упаковке, мм"
"Количество ламп, шт"
"Содержание мяса, субпродуктов, %"
"Ширина товара в упаковке, мм"
